Player name,position,Games,Runs,Hits,home run,run batted in,Strikeouts,AVG,On-base Percentage
B Bonds,LF,2986,2227,2935,762,1996,1539,0.298,0.444
H Aaron,RF,3298,2174,3771,755,2297,1383,0.305,0.374
B Ruth,RF,2504,2174,2873,714,2213,1330,0.342,0.474
A Pujols,1B,3080,1914,3384,703,2218,1404,0.296,0.374
A Rodriguez,SS,2784,2021,3115,696,2086,2287,0.295,0.38
W Mays,CF,2992,2062,3283,660,1903,1526,0.302,0.384
K Griffey,CF,2671,1662,2781,630,1836,1779,0.284,0.37
J Thome,1B,2543,1583,2328,612,1699,2548,0.276,0.402
S Sosa,RF,2354,1475,2408,609,1667,2306,0.273,0.344
F Robinson,RF,2808,1829,2943,586,1812,1532,0.294,0.389
M McGwire,1B,1874,1167,1626,583,1414,1596,0.263,0.394
H Killebrew,1B,2435,1283,2086,573,1584,1699,0.256,0.376
R Palmeiro,1B,2831,1663,3020,569,1834,1348,0.288,0.371
R Jackson,RF,2820,1551,2584,563,1702,2597,0.262,0.356
M Ramirez,LF,2302,1544,2574,555,1831,1813,0.312,0.411
M Schmidt,3B,2404,1506,2234,548,1595,1883,0.267,0.38
D Ortiz,DH,2408,1419,2472,541,1768,1750,0.286,0.38
M Mantle,CF,2401,1677,2415,536,1509,1710,0.298,0.421
J Foxx,1B,2317,1751,2646,534,1922,1311,0.325,0.428
W McCovey,1B,2588,1229,2211,521,1555,1550,0.27,0.374
F Thomas,DH,2322,1494,2468,521,1704,1397,0.301,0.419
T Williams,LF,2292,1798,2654,521,1839,709,0.344,0.482
E Banks,1B,2528,1305,2583,512,1636,1236,0.274,0.33
E Mathews,3B,2391,1509,2315,512,1453,1487,0.271,0.376
M Ott,RF,2730,1859,2876,511,1860,896,0.304,0.414
G Sheffield,RF,2576,1636,2689,509,1676,1171,0.292,0.393
M Cabrera,DH,2702,1530,3090,507,1848,2033,0.308,0.384
E Murray,1B,3026,1627,3255,504,1917,1516,0.287,0.359
F McGriff,1B,2460,1349,2490,493,1550,1882,0.284,0.377
L Gehrig,1B,2164,1888,2721,493,1995,790,0.34,0.447
A Beltr?,3B,2933,1524,3166,477,1707,1732,0.286,0.339
W Stargell,LF,2360,1195,2232,475,1540,1936,0.282,0.36
S Musial,OF,3026,1949,3630,475,1951,696,0.331,0.417
C Delgado,1B,2035,1241,2038,473,1512,1745,0.28,0.383
C Jones,3B,2499,1619,2726,468,1623,1409,0.303,0.401
D Winfield,RF,2973,1669,3110,465,1833,1686,0.283,0.353
A Dunn,LF,2001,1097,1631,462,1168,2379,0.237,0.364
J Canseco,RF,1887,1186,1877,462,1407,1942,0.266,0.353
N Cruz,DH,2008,1081,2018,459,1302,1873,0.274,0.344
C Yastrzemski,LF,3308,1816,3419,452,1844,1393,0.285,0.379
V Guerrero,RF,2147,1328,2590,449,1496,985,0.318,0.379
J Bagwell,1B,2150,1517,2314,449,1529,1558,0.297,0.408
D Kingman,1B,1941,901,1575,442,1210,1816,0.236,0.302
J Giambi,1B,2260,1227,2010,440,1441,1572,0.277,0.399
